id_client,nom_client,email,telephone,segment,created_at,updated_at
1,Amina Andaloussi,amina.andaloussi@gmail.com,0622279826,Entreprise,2024/01/04 07:46:17.000000000,2024/03/04 14:35:24.000000000
2,Aisha Andaloussi,aisha.andaloussi@gmail.com,0729641483,Association,2025/01/30 07:49:55.000000000,2025/03/29 19:31:45.000000000
3,Omar Kettani,omar.kettani@gmail.com,0657141995,Particulier,2025/02/20 07:30:42.000000000,2025/03/25 13:35:21.000000000
4,Sara Skalli,sara.skalli@gmail.com,,Administration,2024/08/27 00:03:46.000000000,2024/09/17 10:25:11.000000000
5,Salma Bekkali,,0778869031,Particulier,2025/02/25 19:07:29.000000000,2025/03/26 03:55:52.000000000
6,Laila Squalli,laila.squalli@gmail.com,0641576962,Association,2025/03/12 01:04:35.000000000,2025/03/28 16:09:43.000000000
7,Zineb Idrissi,zineb.idrissi@gmail.com,0735309258,Particulier,2025/01/06 20:06:13.000000000,2025/02/17 15:17:21.000000000
8,Hind Kettani,hind.kettani@gmail.com,0763967936,Entreprise,2025/03/29 05:05:07.000000000,2025/03/30 21:39:47.000000000
9,Omar Idrissi,omar.idrissi@gmail.com,,Entreprise,2024/01/22 20:30:44.000000000,2024/12/28 14:49:07.000000000
10,Bilal Alami,bilal.alami@gmail.com,0669934802,Association,2024/07/12 23:47:25.000000000,2024/12/09 08:24:36.000000000
11,Hamza Kettani,,0613360394,Entreprise,2024/03/08 00:45:15.000000000,2025/03/16 00:08:22.000000000
12,Fatima Filali,fatima.filali@gmail.com,,Association,2024/08/20 19:29:48.000000000,2025/02/14 04:32:28.000000000
13,Mohamed Idrissi,mohamed.idrissi@gmail.com,0786056566,Administration,2024/03/17 20:31:55.000000000,2024/12/09 14:31:28.000000000
14,Fatima Bekkali,fatima.bekkali@gmail.com,0715962668,Administration,2024/01/05 13:24:09.000000000,2024/09/29 22:05:15.000000000
15,Khalid Skalli,khalid.skalli@gmail.com,0781956387,Entreprise,2024/07/23 07:00:20.000000000,2024/08/23 10:57:53.000000000
